Id,Barcode,Item Name,Category,Supplier ID,Cost Price,Unit Price,Tax 1 Name,Tax 1 Percent,Tax 2 Name,Tax 2 Percent,Reorder Level,Description,Allow Alt Description,Item has Serial Number,Image,HSN,location_stock,location_stock2
,,VICTORIA (CREMA PARA MASAJE),Vitaminas,,3,6,,,,,5,0,,,,,2,
,,CREMA VIOLETA PARA MASAJES ,Vitaminas,,5,10,,,,,5,0,,,,,2,
,,CREMA CALENDULA,Vitaminas,,2.5,5,,,,,5,0,,,,,2,
,,CREMA CHUCHUGUAZA,Vitaminas,,2.5,5,,,,,5,0,,,,,2,
,,CREMA REM-TOSAN CREMA PARA MASAJES ,Vitaminas,,4,8,,,,,5,0,,,,,2,
,,CREMA CON EXTRACTO DE ARNICA ,Vitaminas,,3,6,,,,,5,0,,,,,2,
,,CREMA DE SABILA ,Vitaminas,,2,4,,,,,5,PARA QUEMADURAS Y MANCHAS EN LA PIEL,,,,,3,
,,CREMA DEMOLEDORA,Vitaminas,,4,8,,,,,5,CREMA PARA MASAJES ,,,,,2,
,,ROTECTOR SOLAR CON COLAGENO NACIONAL ,Vitaminas,,2,4,,,,,5,TODO TIPO DE PIEL,,,,,1,
,,JABON SANA PEL,Vitaminas,,1.5,3,,,,,5,0,,,,,6,
,,CLOROFILA A,Vitaminas,,2.5,5,,,,,5,0,,,,,2,
,,CLOROFILA ELIXIR,Vitaminas,,2.5,5,,,,,5,0,,,,,2,
,,SEDAHERBAL ELIXIR,Vitaminas,,2,4,,,,,5,180 ML,,,,,2,
,,GOTAS BALSAMICAS,Vitaminas,,2,4,,,,,5,0,,,,,2,
,,LA GRANOLA,Vitaminas,,0.9,1.80,,,,,5,0,,,,,8,
,,CHIA SEEDS,Vitaminas,,1.5,3,,,,,5,0,,,,,4,
,,PLATA COLOIDAL,Vitaminas,,3,6,,,,,5,0,,,,,4,
,,BAKING SODA,Vitaminas,,0.75,1.50,,,,,5,50 G,,,,,6,
,,MAGNESIO CHLORIDE,Vitaminas,,1.5,3,,,,,5,30 G,,,,,1,
